experiment,accuracy,macro_f1,weighted_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision_2,recall_2,f1_2,precision_3,recall_3,f1_3,accuracy_0,accuracy_1,accuracy_2,accuracy_3
INLIERS_SVM_rbf_pca5_C5_cal,0.6170875129712902,0.4412453061996892,0.5770663609279445,0.481994459833795,0.21614906832298136,0.29845626072041165,0.6612096407457936,0.8806783767413688,0.7553246753246753,0.4840764331210191,0.31437435367114785,0.3811912225705329,0.4607594936708861,0.2570621468926554,0.3300090661831369,0.8585264614320305,0.6741611898996887,0.8292978208232445,0.8721895537876168
INLIERS_LR_pca9_C1_bal,0.4283984780352819,0.38824412625774385,0.4540155233933319,0.3012583271650629,0.5055900621118012,0.37755102040816324,0.7286983795086251,0.42216838279830404,0.5346116970278044,0.35804549283909015,0.43950361944157185,0.3946146703806871,0.188580015026296,0.3545197740112994,0.24619911721432075,0.7679003804911795,0.5802490487720512,0.7744725008647527,0.7341750259425804
INLIERS_LR_pca5_C1_bal,0.40764441369768245,0.370952410019938,0.43464785255376137,0.26777609682299547,0.43975155279503103,0.3328631875881523,0.7107258938244854,0.3973349485160509,0.5097125097125097,0.3751030502885408,0.4705274043433299,0.41743119266055045,0.1684511063526053,0.3333333333333333,0.2238027501185396,0.7545831892078866,0.563472846765825,0.7803528190937392,0.7168799723279142
INLIERS_LR_pca3_C1_bal,0.39484607402282945,0.36033139949192794,0.42328630911731413,0.26743075453677173,0.34782608695652173,0.3023758099352052,0.6911922663802363,0.38976377952755903,0.49845081332300545,0.37037037037037035,0.4446742502585315,0.4041353383458647,0.16705607476635514,0.403954802259887,0.23636363636363636,0.7765479072985126,0.5520581113801453,0.7806987201660325,0.6803874092009685
INLIERS_QDA_reg0.1,0.614147353856797,0.3549265279453713,0.5288576891892156,0.5904761904761905,0.07701863354037267,0.13626373626373625,0.6259796238244514,0.967595396729255,0.7601713062098501,0.5780141843971631,0.16856256463288521,0.2610088070456365,0.45017182130584193,0.1850282485875706,0.26226226226226224,0.8640608785887236,0.6513317191283293,0.8403666551366309,0.87253545485991
INLIERS_LDA,0.589069526115531,0.3211166344074715,0.5033815935086189,0.41975308641975306,0.0422360248447205,0.07674943566591422,0.6132487108290361,0.9364021804966687,0.7411313518696069,0.48186528497409326,0.1923474663908997,0.2749445676274945,0.3443223443223443,0.1327683615819209,0.19164118246687054,0.8585264614320305,0.62642684192321,0.8303355240401246,0.862850224835697
INLIERS_LDA_shrinkage_auto,0.5878588723625043,0.31664122185706384,0.5006820818869633,0.4,0.037267080745341616,0.06818181818181818,0.6118251928020566,0.937007874015748,0.7402799377916018,0.484375,0.1923474663908997,0.2753515914137676,0.33458646616541354,0.12570621468926554,0.18275154004106775,0.8581805603597371,0.6245243860255967,0.8306814251124178,0.8623313732272571
INLIERS_SVM_rbf_pca3_C5_cal,0.5814597025250778,0.2476630526702554,0.46252468266900704,0.0,0.0,0.0,0.5937733035048471,0.9645669291338582,0.7350565428109854,0.423444976076555,0.18304033092037228,0.2555956678700361,0.0,0.0,0.0,0.860774818401937,0.6029055690072639,0.8216879972327914,0.8775510204081632
INLIERS_GMM_4comp,0.25786924939467315,0.21697298659154224,0.28788688031254994,0.11432325886990802,0.21614906832298136,0.14954877524709928,0.5563218390804597,0.2931556632344034,0.38397461324871085,0.13563402889245585,0.17476732161323683,0.1527338454586534,0.141287284144427,0.2542372881355932,0.18163471241170534,0.6577308889657558,0.46281563472846765,0.6757177447250087,0.7194742303701142
INLIERS_GMM_6comp,0.20166032514700796,0.12752339911820118,0.25636823829711813,0.1108719052744887,0.12795031055900621,0.11880046136101499,0.5728429985855729,0.24530587522713507,0.3435114503816794,0.13459879206212252,0.16132368148914167,0.14675446848541862,0.18130841121495328,0.1370056497175141,0.15607401448109412,0.7357315807679004,0.4645451400899343,0.686267727429955,0.8185748875821515
